condition,odometer,paint_color,price,year
like new,210000,silver,3999,1999
excellent,104597,silver,9000,2009
excellent,73450,"",13794,2014
excellent,101000,blue,10500,2011
like new,56878,black,14495,2015
good,210000,"",3200,2001
fair,179000,blue,2000,2011
good,159769,grey,2500,2000
good,178161,white,3600,2002
like new,54163,silver,15495,2017
like new,119331,grey,7795,2011
excellent,36700,black,15900,2015
good,81074,custom,8295,2009
fair,194356,green,2500,2002
like new,38500,black,18000,2017
excellent,172000,"",5495,2011
excellent,136470,black,8995,2013
excellent,169000,"",3200,2005
good,132785,grey,5000,2006
excellent,79595,white,9495,2010
fair,209950,white,2700,2005
good,175000,red,2100,1999
excellent,107234,grey,4900,2003
excellent,169000,"",3300,2005
good,91928,blue,6000,2009
excellent,142149,grey,3150,2004
excellent,127901,"",9500,2016
like new,150000,green,5000,2009
excellent,172851,"",3988,2005
excellent,93000,silver,9500,2013
like new,58000,black,15899,2017
excellent,124884,"",6990,2010
good,94317,"",9000,2012
excellent,125000,"",5000,2001
good,170000,red,5500,2007
good,157000,grey,3900,2008
excellent,133000,grey,7200,2013
good,119132,grey,6995,2007
good,140000,blue,1,2019
good,165223,silver,3695,2009
good,179732,black,5995,2009
good,169203,black,5295,2007
good,176313,blue,4495,2005
like new,144393,red,8100,2009
excellent,132920,blue,3200,1997
excellent,69949,black,13395,2014
good,165223,silver,3695,2009
excellent,69949,black,13395,2014
good,140000,blue,1,2019
excellent,69949,black,13395,2014
excellent,121276,"",8495,2011
good,170000,"",3000,2003
excellent,121276,"",8495,2011
excellent,96000,white,830,2000
new,53000,red,8500,2011
excellent,151000,silver,5300,2008
good,108000,brown,9900,2014
excellent,46000,silver,10500,2015
excellent,66800,silver,14000,2015
like new,67000,custom,9100,2015
good,108000,brown,9900,2014
excellent,170538,red,5800,2007
excellent,130000,black,13950,2015
excellent,90000,silver,12500,2015
excellent,115705,grey,7495,2009
like new,95000,red,9000,2007
excellent,206000,silver,3500,2007
good,74000,red,6650,2005
excellent,75261,silver,6500,2007
good,122100,custom,5000,2007
good,167723,blue,6000,2008
excellent,115705,grey,7495,2009
excellent,100000,"",7000,2011
excellent,146672,brown,3495,2006
excellent,115705,grey,7495,2009
good,59132,silver,10990,2008
excellent,115705,grey,7495,2009
good,142000,black,4500,2005
good,155500,green,3900,2004
good,180000,"",4200,2007
like new,270032,blue,2800,2003
like new,135000,"",5100,2007
excellent,155123,silver,8995,2012
excellent,101710,red,11790,2013
excellent,161648,silver,3150,2002
like new,270032,blue,2800,2003
good,165000,brown,2000,2000
like new,270032,blue,2800,2003
excellent,153724,silver,7995,2012
like new,270032,blue,2800,2003
like new,270032,blue,2800,2003
good,152730,silver,3000,2006
like new,270032,blue,2800,2003
good,155500,green,3900,2004
good,155500,green,3900,2004
