rating,gpa,white,female,tech_skills,unpaid_intshp,top_intshp,second_intshp
7,3.69,0,1,0,0,0,1
5,3.24,0,1,0,0,0,1
1,3.63,0,1,0,0,0,1
6,3.91,1,0,0,1,0,1
1,3.18,1,0,0,0,0,1
5,3.52,1,0,0,1,1,0
1,3.03,1,0,1,1,1,0
3,3.36,0,1,0,1,1,0
6,3.9,1,0,0,1,1,0
1,3.17,0,0,0,1,1,0
3,3.53,0,1,1,1,1,0
4,3.17,1,0,1,1,1,0
1,3.16,0,1,1,1,1,0
5,3.62,1,1,0,1,1,0
4,3.58,0,0,1,1,1,0
8,3.87,1,1,0,1,1,0
8,3.07,0,0,0,1,1,0
8,3.91,0,1,0,1,1,0
2,3.31,1,1,0,1,1,0
2,3.13,1,0,0,1,1,0
7,3.37,0,0,0,1,1,0
6,3.8,0,0,0,1,1,0
2,3.73,1,1,0,1,1,1
1,3.22,1,1,0,0,1,1
3,3.02,1,1,0,0,1,1
4,3.67,0,0,1,0,1,1
4,3.93,1,1,1,0,1,1
8,3.58,1,1,0,1,1,1
7,3.7,1,0,0,1,1,1
8,3.96,1,0,0,0,1,1
5,3.15,1,1,1,0,1,1
10,3.93,1,0,0,0,1,1
2,3.53,0,0,0,0,1,1
9,3.92,1,1,0,0,1,1
9,3.72,0,0,1,0,1,1
6,3.67,0,0,1,0,1,1
6,3.64,0,1,0,0,1,1
5,3.46,1,1,0,1,1,1
8,3.65,1,1,0,0,1,1
1,3.18,1,1,0,0,1,1
6,3.98,1,0,0,0,1,1
8,3.23,0,1,0,0,1,1
1,3.29,1,0,1,0,1,1
5,3.85,0,1,0,0,1,1
7,3.64,0,0,0,1,1,1
6,3.92,1,1,0,0,1,1
5,3.37,0,1,1,0,1,1
6,3.49,1,1,0,0,1,1
9,3.73,1,0,1,1,1,0
3,3.46,1,0,1,1,1,0
1,3.08,0,1,0,1,1,0
3,3.97,1,0,1,1,1,0
8,3.31,1,0,0,1,1,0
1,3.25,0,0,0,1,1,0
5,3.96,1,1,0,1,1,0
7,3.6,1,0,1,1,1,0
5,3.27,1,1,0,1,1,0
5,3.54,0,1,1,1,1,0
7,3.71,1,1,0,1,1,0
4,3.28,1,0,1,1,1,0
2,3.28,1,1,1,1,1,0
4,3.61,1,0,0,1,1,0
1,3.38,1,1,0,1,1,0
1,3.27,0,0,0,1,1,0
3,3.76,0,1,0,1,1,1
2,3.23,1,0,0,1,1,1
4,3.62,0,1,0,1,1,1
7,3.85,0,0,1,1,1,1
3,3.23,1,1,0,1,1,1
3,3.92,1,0,0,1,1,1
2,3.04,1,1,0,0,1,1
7,3.53,1,0,0,0,1,1
2,3.5,0,0,0,0,1,1
9,3.52,1,1,0,1,1,1
1,3.59,0,0,0,1,1,1
4,3.13,0,1,1,1,1,1
7,3.16,0,1,1,0,1,1
4,3.37,1,0,0,0,1,1
7,3.78,1,1,1,1,1,1
8,3.96,1,0,1,0,1,1
5,3.68,0,1,1,1,1,1
7,3.43,1,1,0,1,1,1
