"DayOfWeek","Date","Price","Open","High","Low","Change"
"Tue","11-01-2022","4.429","4.372","4.4385","4.366","+1.77%"
"Mon","10-01-2022","4.352","4.4015","4.431","4.3305","-1.32%"
"Sun","09-01-2022","N/A","N/A","N/A","N/A",NA
"Sat","08-01-2022","N/A","N/A","N/A","N/A",NA
"Fri","07-01-2022","4.41","4.354","4.4175","4.3435","+1.27%"
"Thu","06-01-2022","4.3545","4.392","4.408","4.3135","-1.34%"
"Wed","05-01-2022","4.4135","4.4725","4.473","4.372","-1.37%"
"Tue","04-01-2022","4.475","4.4245","4.4785","4.378","+1.21%"
"Mon","03-01-2022","4.4215","4.4585","4.4805","4.335","-0.94%"
"Sun","02-01-2022","N/A","N/A","N/A","N/A",NA
"Sat","01-01-2022","N/A","N/A","N/A","N/A",NA
