price,age,odometer,state_ca,state_fl,state_ny,state_tx
5000,15,135000,0,1,0,0
10900,6,123757,0,1,0,0
17990,3,28012,0,1,0,0
6995,15,118930,0,1,0,0
10900,6,123757,0,1,0,0
10900,6,123757,0,1,0,0
12988,7,91388,0,1,0,0
20590,1,1688,0,1,0,0
18590,4,14317,0,0,1,0
7000,11,137000,0,0,1,0
7200,10,95000,0,0,1,0
7995,11,113000,0,0,1,0
20990,1,4905,0,0,1,0
9995,5,120000,0,0,1,0
3500,17,113000,0,0,1,0
3995,14,140000,0,0,1,0
4400,13,125000,0,0,1,0
19990,2,7382,0,0,1,0
7299,8,115000,0,0,1,0
23990,1,3112,0,0,1,0
16590,4,40221,0,0,1,0
17590,3,42132,0,0,1,0
16990,3,35973,0,0,1,0
4899,15,138800,0,0,1,0
10980,6,136000,0,0,1,0
7950,8,93100,0,0,1,0
20990,1,4905,0,0,1,0
15900,2,25875,0,0,1,0
2100,20,129391,0,0,1,0
8500,10,90893,0,0,1,0
17990,3,11340,0,0,1,0
20590,1,1688,0,0,1,0
8650,10,103788,0,0,1,0
14995,5,72458,0,0,1,0
14499,5,29842,0,0,1,0
9499,8,102846,0,0,1,0
6250,11,100000,0,0,1,0
7295,12,101582,0,0,1,0
6700,11,98000,0,0,1,0
19990,2,7382,0,0,1,0
4495,17,63659,0,0,1,0
4975,11,111016,0,0,1,0
6500,11,110000,0,0,1,0
4400,13,149011,0,0,1,0
4950,14,108000,0,0,1,0
9800,7,50000,0,0,1,0
9000,7,99088,0,0,1,0
6495,10,102955,0,0,1,0
4495,17,63659,0,0,1,0
3295,16,146412,0,0,1,0
6000,10,110000,0,0,1,0
23990,1,3112,0,0,1,0
6495,10,102955,0,0,1,0
16590,4,40221,0,0,1,0
3295,16,146412,0,0,1,0
4495,17,63659,0,0,1,0
6495,10,102955,0,0,1,0
12295,2,18490,0,0,1,0
2250,20,83000,0,0,1,0
5700,12,128000,0,0,1,0
17990,3,28337,0,0,1,0
8250,9,119331,0,0,1,0
3000,24,141000,0,0,1,0
4899,17,119000,0,0,1,0
4999,18,53000,0,0,1,0
4700,10,135169,0,0,1,0
20990,2,23659,0,0,1,0
2500,13,123000,0,0,1,0
7700,8,97533,0,0,1,0
8950,9,64080,0,0,1,0
6951,10,110339,0,0,1,0
6995,11,101745,0,0,1,0
2500,13,123000,0,0,1,0
6999,12,59000,0,0,1,0
21990,2,16493,0,0,1,0
17990,5,19987,0,0,1,0
3050,17,149000,0,0,1,0
8950,4,70499,0,0,1,0
2500,13,123000,0,0,1,0
3700,16,143122,0,0,1,0
4495,17,63659,0,0,1,0
2500,13,123000,0,0,1,0
1200,22,118000,0,0,1,0
15590,4,73421,0,0,1,0
10888,6,98245,0,0,1,0
8270,8,131923,0,0,1,0
8995,10,95196,0,0,1,0
8995,11,106000,0,0,1,0
10495,10,62000,0,0,1,0
9899,6,103000,0,0,1,0
23990,1,3112,0,0,1,0
5995,12,122000,0,0,1,0
4150,14,18000,0,0,1,0
16590,4,40221,0,0,1,0
17590,3,42132,0,0,1,0
5995,12,122000,0,0,1,0
10995,6,73700,0,0,1,0
7999,9,98005,0,0,1,0
16990,3,35973,0,0,1,0
7999,9,98005,0,0,1,0
11800,4,80000,0,0,1,0
8995,9,101404,0,0,1,0
8000,4,46000,0,0,1,0
8495,10,99515,0,0,1,0
20990,1,4905,0,0,1,0
5300,14,114315,0,0,1,0
6988,14,112000,0,0,1,0
11850,5,30323,0,0,0,1
17590,4,39123,0,0,0,1
10998,5,122950,0,0,0,1
12950,4,50000,0,0,0,1
21990,2,16493,0,0,0,1
8950,4,70499,0,0,0,1
4650,17,132100,0,0,0,1
15990,5,41532,0,0,0,1
7750,7,85000,0,0,0,1
17990,3,30768,0,0,0,1
1700,9,110000,0,0,0,1
14991,4,44642,0,0,0,1
10799,6,98143,0,0,0,1
16990,3,31829,0,0,0,1
3000,15,148000,0,0,0,1
8295,10,123353,0,0,0,1
5991,15,130386,0,0,0,1
18508,2,15283,0,0,0,1
17990,3,11340,0,0,0,1
17590,4,39123,0,0,0,1
13991,4,79964,0,0,0,1
15000,4,35645,0,0,0,1
15826,2,80954,0,0,0,1
20182,2,33965,0,0,0,1
17990,5,19987,0,0,0,1
12995,7,77091,0,0,0,1
14984,4,41624,0,0,0,1
5700,8,122000,0,0,0,1
7900,11,116000,0,0,0,1
3850,10,147469,0,0,0,1
14730,6,39693,0,0,0,1
9998,6,109603,0,0,0,1
17990,5,27951,0,0,0,1
8995,9,81000,0,0,0,1
11950,9,123967,0,0,0,1
2995,20,1,0,0,0,1
18590,4,14317,0,0,0,1
15990,6,45728,0,0,0,1
15995,2,34954,0,0,0,1
17590,4,29815,0,0,0,1
4495,11,143000,0,0,0,1
7900,6,140000,0,0,0,1
15995,3,28420,0,0,0,1
15995,3,28420,0,0,0,1
15995,2,34954,0,0,0,1
12995,5,72890,0,0,0,1
17990,3,19632,0,0,0,1
20590,1,1688,0,0,0,1
15995,2,34954,0,0,0,1
7500,8,115000,0,0,0,1
3650,14,132000,0,0,0,1
6800,8,122000,0,0,0,1
10995,8,78753,0,0,0,1
7999,8,118189,0,0,0,1
6300,12,102442,0,0,0,1
9000,6,66500,0,0,0,1
11900,6,89153,0,0,0,1
10995,5,999,0,0,0,1
21990,2,16493,0,0,0,1
1000,6,69000,0,0,0,1
11991,6,60713,0,0,0,1
7900,11,109000,0,0,0,1
7999,8,118189,0,0,0,1
16911,3,33269,0,0,0,1
4995,16,124734,0,0,0,1
11981,6,97254,0,0,0,1
15590,5,44960,0,0,0,1
8500,9,130421,0,0,0,1
6500,12,117747,0,0,0,1
6500,12,117747,0,0,0,1
20990,1,4905,0,0,0,1
6500,12,117747,0,0,0,1
16200,1,41613,0,0,0,1
16250,1,40290,0,0,0,1
16100,1,43386,0,0,0,1
6500,12,117747,0,0,0,1
23995,1,21652,0,0,0,1
20995,1,42937,0,0,0,1
15995,3,62768,0,0,0,1
3200,15,106000,0,0,0,1
4600,11,130000,0,0,0,1
7655,10,83000,0,0,0,1
10998,5,122950,0,0,0,1
11000,7,101000,0,0,0,1
8991,9,100259,0,0,0,1
10900,4,21000,0,0,0,1
1000,2,25514,0,0,0,1
7900,6,140000,0,0,0,1
1000,2,25514,0,0,0,1
1000,2,25514,0,0,0,1
1500,2,25857,0,0,0,1
1500,3,25857,0,0,0,1
10799,6,98143,0,0,0,1
6965,12,116585,0,0,0,1
16590,6,46490,0,0,0,1
7900,6,140000,0,0,0,1
20488,2,28156,0,0,0,1
1500,3,25857,0,0,0,1
1000,3,25857,0,0,0,1
15991,4,33727,0,0,0,1
18590,4,14317,0,0,0,1
5999,12,144000,0,0,0,1
9499,6,105000,0,0,0,1
11500,5,111641,0,0,0,1
1000,3,25857,0,0,0,1
7900,6,140000,0,0,0,1
1000,3,25857,0,0,0,1
1500,3,25857,0,0,0,1
13991,5,63909,0,0,0,1
7900,6,140000,0,0,0,1
10799,6,98143,0,0,0,1
16990,3,24244,0,0,0,1
5999,14,130000,0,0,0,1
13990,5,56900,0,0,0,1
13250,7,88886,0,0,0,1
20590,1,1688,0,0,0,1
9500,11,98000,0,0,0,1
17990,3,11340,0,0,0,1
15995,2,40299,0,0,0,1
20990,1,4905,0,0,0,1
15990,5,41532,0,0,0,1
7495,8,118756,0,0,0,1
7495,8,118756,0,0,0,1
20590,1,1688,0,0,0,1
